dataset;FED AGG 2;NO FED;;
Corel5k_0;0.235962;0.181081;;
Corel5k_1;0.191946;0.139916;;
Corel5k_2;0.202361;0.197294;;
Corel5k_3;0.198974;0.181439;;
Corel5k_4;0.193015;0.189015;;
Corel5k_5;0.267317;0.147664;;
Corel5k_6;0.227211;0.211742;;
Corel5k_7;0.397462;0.227297;;
Corel5k_8;0.222503;0.151606;;
Corel5k_9;0.220670;0.144813;;
Corel5k_10;0.305731;0.169243;;
Corel5k_11;0.233274;0.160690;;
Corel5k_12;0.266748;0.183588;;
Corel5k_13;0.165084;0.164811;;
Corel5k_14;0.194682;0.142709;;
Corel5k_15;0.174490;0.199378;;
Corel5k_16;0.238015;0.176159;;
Corel5k_17;0.184230;0.168209;;
Corel5k_18;0.168314;0.144515;;
Corel5k_19;0.193941;0.172334;;
Corel5k_20;0.144529;0.124293;;
Corel5k_21;0.106364;0.089865;;
Corel5k_22;0.169360;0.142610;;
Corel5k_23;0.261951;0.187155;;
Corel5k_24;0.234959;0.199081;;
Corel5k_25;0.229873;0.164920;;
Corel5k_26;0.187021;0.118977;;
Corel5k_27;0.208610;0.166830;;
Corel5k_28;0.239928;0.206844;;
Corel5k_29;0.342141;0.196097;;
Corel5k_30;0.237609;0.166187;;
20NG_1;0.752468;0.821246;;
20NG_2;0.672124;0.726257;;
20NG_3;0.762537;0.789705;;
20NG_4;0.808834;0.844980;;
20NG_27;0.745758;0.661048;;
20NG_28;0.812311;0.832626;;
20NG_29;0.767618;0.718218;;
20NG_30;0.802123;0.808330;;
yeast_1;0.568431;0.527938;;
yeast_2;0.640808;0.590668;;
yeast_3;0.365187;0.275686;;
yeast_4;0.536056;0.527380;;
yeast_5;0.672770;0.470676;;
yeast_6;0.566986;0.650203;;
yeast_7;0.510172;0.520112;;
yeast_8;0.562226;0.526200;;
yeast_9;0.565178;0.580681;;
yeast_10;0.594601;0.579216;;
yeast_11;0.520840;0.517555;;
yeast_12;0.552408;0.516687;;
yeast_13;0.621510;0.570931;;
yeast_14;0.510501;0.490048;;
yeast_15;0.603703;0.587449;;
yeast_16;0.718581;0.554306;;
yeast_17;0.631998;0.598212;;
yeast_18;0.564781;0.621911;;
yeast_19;0.525998;0.578108;;
yeast_20;0.625723;0.587187;;
yeast_21;0.537855;0.543367;;
yeast_22;0.633290;0.610055;;
yeast_23;0.647346;0.595952;;
yeast_24;0.615959;0.551990;;
yeast_25;0.532407;0.591600;;
yeast_26;0.503404;0.520941;;
yeast_27;0.577209;0.553824;;
yeast_28;0.557708;0.548993;;
yeast_29;0.698860;0.684860;;
yeast_30;0.591449;0.553096;;
Reuters_1;0.381491;0.141439;;
Reuters_2;0.354804;0.364426;;
Reuters_3;0.293188;0.378121;;
Reuters_4;0.320066;0.429326;;
Reuters_40;0.296390;0.274914;;
mediamill_1;0.535195;0.547480;;
mediamill_2;0.564473;0.541619;;
mediamill_3;0.650836;0.673462;;
mediamill_4;0.540504;0.540450;;
mediamill_5;0.622200;0.651729;;
mediamill_6;0.693180;0.687457;;
mediamill_7;0.623013;0.630719;;
mediamill_8;0.676188;0.671450;;
mediamill_9;0.512368;0.552369;;
mediamill_10;0.691489;0.668217;;
mediamill_11;0.519887;0.518193;;
mediamill_12;0.603715;0.620480;;
mediamill_13;0.568799;0.575337;;
mediamill_14;0.526152;0.527838;;
mediamill_15;0.618701;0.620731;;
mediamill_16;0.625174;0.642092;;
mediamill_17;0.696141;0.694474;;
mediamill_18;0.632389;0.634043;;
mediamill_19;0.572137;0.587367;;
mediamill_20;0.602149;0.610385;;
mediamill_21;0.662408;0.662950;;
mediamill_22;0.556182;0.635726;;
mediamill_23;0.648594;0.542994;;
mediamill_24;0.632766;0.607040;;
mediamill_25;0.603743;0.585998;;
mediamill_26;0.614166;0.638243;;
mediamill_27;0.519520;0.566675;;
mediamill_28;0.630126;0.645441;;
mediamill_29;0.683626;0.679452;;
mediamill_30;0.551210;0.544636;;
yahoo_1;0.622626;0.603535;;
yahoo_2;0.699149;0.645390;;
yahoo_28;0.685281;0.621484;;
yahoo_29;0.674618;0.583809;;
yahoo_30;0.641657;0.596504;;
slashdot_1;0.465945;0.414234;;
slashdot_2;0.458690;0.612239;;
slashdot_3;0.432517;0.570785;;
slashdot_20;0.286606;0.433492;;
slashdot_21;0.230803;0.600900;;
Human_PseAAc_1;0.625398;0.577381;;
Human_PseAAc_2;0.351290;0.451195;;
Human_PseAAc_3;0.646258;0.727318;;
Human_PseAAc_20;0.636198;0.668148;;
Human_PseAAc_21;0.683023;0.699859;;
scene_1;0.682385;0.7375;;
scene_2;0.717171;0.693329;;
scene_3;0.736366;0.685854;;
scene_4;0.760569;0.754711;;
scene_5;0.731907;0.746408;;
scene_6;0.642840;0.681148;;
scene_7;0.799015;0.767361;;
scene_8;0.799113;0.809524;;
scene_9;0.797184;0.821117;;
scene_10;0.781180;0.797893;;
scene_11;0.749079;0.741175;;
scene_12;0.789577;0.697436;;
scene_13;0.788841;0.792843;;
scene_14;0.693580;0.701869;;
scene_15;0.781909;0.765691;;
scene_16;0.724223;0.720628;;
scene_17;0.809900;0.780846;;
scene_18;0.728552;0.746027;;
scene_19;0.743769;0.776298;;
scene_20;0.798923;0.842689;;
scene_21;0.837575;0.842689;;
scene_22;0.703505;0.684865;;
scene_23;0.766286;0.770032;;
scene_24;0.614230;0.563980;;
scene_25;0.757016;0.566057;;
scene_26;0.714350;0.698118;;
scene_27;0.619145;0.634714;;
scene_28;0.815731;0.792015;;
scene_29;0.806063;0.810062;;
scene_30;0.709674;0.707990;;
tmc2007_500_1;0.777225;0.773069;;
tmc2007_500_2;0.747981;0.782080;;
tmc2007_500_3;0.765049;0.758980;;
tmc2007_500_4;0.779807;0.808756;;
tmc2007_500_5;0.754258;0.747626;;
tmc2007_500_6;0.746508;0.750922;;
tmc2007_500_7;0.508970;0.494834;;
tmc2007_500_8;0.804575;0.799485;;
tmc2007_500_9;0.806521;0.793667;;
tmc2007_500_10;0.828192;0.811745;;
tmc2007_500_11;0.538412;0.498673;;
tmc2007_500_12;0.762180;0.764758;;
tmc2007_500_13;0.799263;0.801423;;
tmc2007_500_14;0.686472;0.731478;;
tmc2007_500_15;0.690388;0.697600;;
tmc2007_500_16;0.650214;0.710856;;
tmc2007_500_17;0.735266;0.733418;;
tmc2007_500_18;0.747259;0.742858;;
tmc2007_500_19;0.713181;0.709185;;
tmc2007_500_20;0.761091;0.764576;;
tmc2007_500_21;0.798883;0.757749;;
tmc2007_500_22;0.782228;0.788449;;
tmc2007_500_23;0.706286;0.719891;;
tmc2007_500_24;0.693359;0.719688;;
tmc2007_500_25;0.686906;0.721965;;
tmc2007_500_26;0.779678;0.797195;;
tmc2007_500_27;0.810154;0.790185;;
tmc2007_500_28;0.758610;0.754650;;
tmc2007_500_29;0.808936;0.782252;;
tmc2007_500_30;0.819078;0.824284;;